Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
4,BubbleSortUntilNoChange,int,1000,bestCase,26,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,27,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,28,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,29,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,30,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,31,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,32,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,33,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,34,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,35,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,36,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,37,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,38,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,39,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,40,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,41,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,42,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,43,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,44,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,45,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,46,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,47,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,48,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,49,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,50,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,51,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,52,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,53,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,54,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,55,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,56,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,57,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,58,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,59,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,60,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,61,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,62,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,63,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,64,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,65,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,66,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,67,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,68,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,69,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,70,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,71,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,72,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,73,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,74,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,75,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,76,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,77,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,78,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,79,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,80,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,81,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,82,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,83,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,84,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,85,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,86,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,87,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,88,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,89,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,90,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,91,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,92,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,93,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,94,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,95,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,96,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,97,0.00
4,BubbleSortUntilNoChange,int,1000,bestCase,98,0.00
